AR 100 100
A 0 0 21
A 0 1 6
A 0 2 8
A 0 3 21
A 0 4 15
A 0 5 16
A 0 6 25
A 0 7 8
A 0 8 22
A 0 9 0
A 0 10 25
A 0 11 13
A 0 12 23
A 0 13 10
A 0 14 2
A 0 15 4
A 0 16 6
A 0 17 7
A 0 18 1
A 0 19 11
A 0 20 9
A 0 21 19
A 0 22 2
A 0 23 3
A 0 24 13
A 0 25 24
A 0 26 18
A 0 27 18
A 0 28 3
A 0 29 13
A 0 30 3
A 0 31 3
A 0 32 21
A 0 33 9
A 0 34 17
A 0 35 22
A 0 36 24
A 0 37 6
A 0 38 3
A 0 39 9
A 0 40 18
A 0 41 6
A 0 42 0
A 0 43 17
A 0 44 13
A 0 45 3
A 0 46 14
A 0 47 5
A 0 48 15
A 0 49 7
A 0 50 5
A 0 51 17
A 0 52 4
A 0 53 23
A 0 54 17
A 0 55 12
A 0 56 7
A 0 57 16
A 0 58 17
A 0 59 12
A 0 60 3
A 0 61 23
A 0 62 20
A 0 63 4
A 0 64 22
A 0 65 14
A 0 66 16
A 0 67 14
A 0 68 5
A 0 69 6
A 0 70 3
A 0 71 8
A 0 72 16
A 0 73 23
A 0 74 1
A 0 75 22
A 0 76 2
A 0 77 13
A 0 78 10
A 0 79 7
A 0 80 2
A 0 81 8
A 0 82 21
A 0 83 22
A 0 84 0
A 0 85 24
A 0 86 11
A 0 87 4
A 0 88 13
A 0 89 17
A 0 90 4
A 0 91 2
A 0 92 17
A 0 93 18
A 0 94 18
A 0 95 2
A 0 96 21
A 0 97 7
A 0 98 6
A 0 99 18
A 1 0 13
A 1 1 4
A 1 2 23
A 1 3 25
A 1 4 13
A 1 5 5
A 1 6 1
A 1 7 9
A 1 8 15
A 1 9 25
A 1 10 0
A 1 11 24
A 1 12 18
A 1 13 16
A 1 14 21
A 1 15 15
A 1 16 3
A 1 17 21
A 1 18 14
A 1 19 14
A 1 20 24
A 1 21 20
A 1 22 12
A 1 23 25
A 1 24 0
A 1 25 19
A 1 26 1
A 1 27 20
A 1 28 17
A 1 29 1
A 1 30 4
A 1 31 15
A 1 32 24
A 1 33 20
A 1 34 5
A 1 35 4
A 1 36 4
A 1 37 19
A 1 38 1
A 1 39 2
A 1 40 16
A 1 41 19
A 1 42 0
A 1 43 20
A 1 44 18
A 1 45 7
A 1 46 9
A 1 47 11
A 1 48 12
A 1 49 24
A 1 50 21
A 1 51 25
A 1 52 15
A 1 53 12
A 1 54 16
A 1 55 18
A 1 56 20
A 1 57 5
A 1 58 8
A 1 59 24
A 1 60 18
A 1 61 0
A 1 62 10
A 1 63 14
A 1 64 16
A 1 65 12
A 1 66 9
A 1 67 2
A 1 68 4
A 1 69 8
A 1 70 0
A 1 71 4
A 1 72 3
A 1 73 16
A 1 74 5
A 1 75 8
A 1 76 21
A 1 77 8
A 1 78 17
A 1 79 0
A 1 80 20
A 1 81 21
A 1 82 8
A 1 83 21
A 1 84 25
A 1 85 12
A 1 86 25
A 1 87 16
A 1 88 23
A 1 89 15
A 1 90 25
A 1 91 0
A 1 92 8
A 1 93 15
A 1 94 9
A 1 95 7
A 1 96 11
A 1 97 24
A 1 98 11
A 1 99 11
A 2 0 6
A 2 1 9
A 2 2 19
A 2 3 20
A 2 4 17
A 2 5 25
A 2 6 11
A 2 7 9
A 2 8 15
A 2 9 21
A 2 10 16
A 2 11 3
A 2 12 1
A 2 13 13
A 2 14 18
A 2 15 1
A 2 16 16
A 2 17 12
A 2 18 12
A 2 19 1
A 2 20 8
A 2 21 19
A 2 22 21
A 2 23 9
A 2 24 8
A 2 25 6
A 2 26 3
A 2 27 24
A 2 28 14
A 2 29 12
A 2 30 4
A 2 31 22
A 2 32 0
A 2 33 6
A 2 34 24
A 2 35 25
A 2 36 11
A 2 37 13
A 2 38 10
A 2 39 18
A 2 40 8
A 2 41 18
A 2 42 23
A 2 43 5
